action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
ANTAGONIST,Orexin receptor 2 antagonist,CHEMBL3545367,CHEMBL4792
AGONIST,Mu opioid receptor agonist,CHEMBL2103829,CHEMBL233
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL2103829,CHEMBL222
INHIBITOR,Serotonin transporter inhibitor,CHEMBL2103829,CHEMBL228
AGONIST,Mu opioid receptor agonist,CHEMBL3989680,CHEMBL233
AGONIST,Delta opioid receptor agonist,CHEMBL3989680,CHEMBL236
AGONIST,Kappa opioid receptor agonist,CHEMBL3989680,CHEMBL237
ANTAGONIST,Endothelin receptor ET-A antagonist,CHEMBL539423,CHEMBL252
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL539423,CHEMBL227
ANTAGONIST,Histamine H4 receptor antagonist,CHEMBL3301609,CHEMBL3759
ANTAGONIST,Histamine H4 receptor antagonist,CHEMBL5314396,CHEMBL3759
AGONIST,Sphingosine 1-phosphate receptor Edg-1 agonist,CHEMBL1096146,CHEMBL4333
