ensembl_id,efo_id_norm,target_name,disease_name,phase,label
ENSG00000006116,EFO_0000764,CACNG3,HIV infection,2,0
ENSG00000006116,EFO_0002950,CACNG3,pregnancy,1,0
ENSG00000006116,EFO_0003086,CACNG3,kidney disease,1,0
ENSG00000006116,EFO_0003100,CACNG3,peripheral neuropathy,2,0
ENSG00000006116,EFO_0003108,CACNG3,essential tremor,1,0
ENSG00000006116,EFO_0003756,CACNG3,autism spectrum disorder,1,0
ENSG00000006116,EFO_0003768,CACNG3,nicotine dependence,2,0
ENSG00000006116,EFO_0003890,CACNG3,drug dependence,2,0
ENSG00000006116,EFO_0003917,CACNG3,premature birth,1,0
ENSG00000006116,EFO_0004270,CACNG3,restless legs syndrome,4,1
ENSG00000006116,EFO_0005323,CACNG3,post-operative sign or symptom,2,0
ENSG00000006116,EFO_0005407,CACNG3,psychosis,1,0
ENSG00000006116,EFO_0005687,CACNG3,fibromyalgia,4,1
ENSG00000006116,EFO_0005762,CACNG3,neuropathic pain,4,1
ENSG00000006116,EFO_0006788,CACNG3,anxiety disorder,4,1
ENSG00000006116,EFO_0007191,CACNG3,cannabis dependence,2,0
ENSG00000006116,EFO_0009430,CACNG3,neuralgia,4,1
ENSG00000006116,EFO_0009690,CACNG3,urinary system disease,4,1
ENSG00000006116,EFO_0010282,CACNG3,gastrointestinal disease,4,1
ENSG00000006116,EFO_1000971,CACNG3,hyperemesis gravidarum,2,0
ENSG00000006116,EFO_1001250,CACNG3,rotator cuff tear,2,0
ENSG00000006116,EFO_1001800,CACNG3,Intervertebral Disc Displacement,2,0
ENSG00000006116,EFO_1001884,CACNG3,dental phobia,2,0
ENSG00000006116,EFO_1001898,CACNG3,mucositis,2,0
ENSG00000006116,EFO_1001998,CACNG3,complex regional pain syndrome,2,0
ENSG00000006116,HP_0000083,CACNG3,Renal insufficiency,1,0
ENSG00000006116,HP_0000989,CACNG3,Pruritus,2,0
ENSG00000006116,HP_0001250,CACNG3,Seizure,4,1
ENSG00000006116,HP_0002018,CACNG3,Nausea,2,0
ENSG00000006116,HP_0002384,CACNG3,Focal impaired awareness seizure,4,1
ENSG00000006116,HP_0003419,CACNG3,Low back pain,2,0
ENSG00000006116,HP_0007359,CACNG3,Focal-onset seizure,4,1
ENSG00000006116,HP_0012735,CACNG3,Cough,1,0
ENSG00000006116,MONDO_0004892,CACNG3,refractive error,1,0
ENSG00000006116,MONDO_0004992,CACNG3,cancer,2,0
ENSG00000006116,MONDO_0005277,CACNG3,migraine disorder,2,0
ENSG00000006116,MONDO_0011382,CACNG3,sickle cell disease,2,0
ENSG00000006116,MONDO_0017413,CACNG3,Reunion island Larsen syndrome,1,0
ENSG00000006116,MONDO_0041052,CACNG3,postherpetic neuralgia,4,1
ENSG00000006116,MONDO_0043797,CACNG3,spinal cord injury,4,1
ENSG00000006116,Orphanet_294049,CACNG3,Reunion Island's Larsen syndrome,1,0
ENSG00000006210,EFO_0000384,CX3CL1,Crohn's disease,2,0
ENSG00000006210,EFO_0000685,CX3CL1,rheumatoid arthritis,2,0
ENSG00000006210,EFO_1001486,CX3CL1,primary biliary cirrhosis,2,0
ENSG00000006283,EFO_0000319,CACNA1G,cardiovascular disease,4,1
ENSG00000006283,EFO_0000341,CACNA1G,chronic obstructive pulmonary disease,4,1
ENSG00000006283,EFO_0000474,CACNA1G,epilepsy,4,1
ENSG00000006283,EFO_0000764,CACNA1G,HIV infection,2,0
ENSG00000006283,EFO_0002950,CACNA1G,pregnancy,1,0
ENSG00000006283,EFO_0003086,CACNA1G,kidney disease,1,0
ENSG00000006283,EFO_0003100,CACNA1G,peripheral neuropathy,2,0
