efo_id_norm,ot_therapeutic_area,ot_ta_raw
MONDO_0004986,Oncology,urinary system disease|cancer or benign tumor
MONDO_0017198,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
EFO_0001663,Oncology,cancer or benign tumor|reproductive system or breast disease
HP_0100806,Other,phenotype
EFO_0003095,CVRM,endocrine system disease|gastrointestinal disease
EFO_0007304,CVRM,infectious disease|gastrointestinal disease|endocrine system disease
MONDO_0018328,Rare Disease,"nutritional or metabolic disease|phenotype|genetic, familial or congenital disease"
MONDO_0019245,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease"
EFO_0000558,CVRM,infectious disease|cardiovascular disease|cancer or benign tumor
EFO_0000668,Rare Disease,"genetic, familial or congenital disease|pregnancy or perinatal disease|cardiovascular disease|phenotype"
EFO_0001062,Other,infectious disease
EFO_0002496,Oncology,cancer or benign tumor|integumentary system disease
MONDO_0001134,CVRM,cardiovascular disease|phenotype
MONDO_0002050,Other,psychiatric disorder|nervous system disease
MONDO_0019623,Rare Disease,"integumentary system disease|genetic, familial or congenital disease|cardiovascular disease"
EFO_0000681,Oncology,urinary system disease|cancer or benign tumor
EFO_1000359,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_0001068,CVRM,infectious disease|hematologic disease|endocrine system disease|gastrointestinal disease
EFO_0003835,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0004234,Other,reproductive system or breast disease
MONDO_0100233,Other,infectious disease
EFO_0009086,CVRM,cardiovascular disease
HP_0003124,Other,phenotype
EFO_0004252,Respiratory,respiratory or thoracic disease|cancer or benign tumor
MONDO_0044937,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0004284,Oncology,cancer or benign tumor
EFO_0000546,Other,"injury, poisoning or other complication"
EFO_0003782,Other,nervous system disease
EFO_0003918,Respiratory,respiratory or thoracic disease|psychiatric disorder|phenotype|nervous system disease
EFO_0004335,Other,biological_process
EFO_0007292,Immunology,immune system disease|nervous system disease
EFO_0008525,Rare Disease,"nervous system disease|genetic, familial or congenital disease"
EFO_0009602,Other,reproductive system or breast disease
EFO_1000632,Other,nervous system disease
MONDO_0009672,Rare Disease,"nervous system disease|phenotype|genetic, familial or congenital disease"
EFO_0010134,Other,medical procedure
EFO_1000309,Immunology,"hematologic disease|immune system disease|cancer or benign tumor|genetic, familial or congenital disease|musculoskeletal or connective tissue disease"
EFO_0000174,Rare Disease,"genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000637,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0002918,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
EFO_0007183,Respiratory,respiratory or thoracic disease|phenotype
EFO_0007386,Other,infectious disease
EFO_0007460,Immunology,immune system disease|musculoskeletal or connective tissue disease|phenotype
EFO_0009429,Other,infectious disease
EFO_0009448,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0009869,Other,phenotype
EFO_1001359,Rare Disease,"genetic, familial or congenital disease"
MONDO_0018364,Oncology,cancer or benign tumor|endocrine system disease|reproductive system or breast disease
Orphanet_53,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease|disorder of visual system"
MONDO_0001734,Rare Disease,"nervous system disease|genetic, familial or congenital disease|cancer or benign tumor"
